IP,timestamp,title,content,original_content_tag,spoiler_tag,NSFW_tag,poster_userID,flairID,subredID
262.0.2.1,2009-04-13 2:31:15,Who is the best PF ever?,Could it be Boogie Cousins or Andre Drummond?,true,false,false,1,8,1
38.0.1.1,2011-03-28 12:32:03,Look at my Lobster Thermidor!,How do you think it looks?,true,false,false,2,9,2
124.5.6.3,2015-09-08 18:45:22,Election Analysis 2020,Discuss the political landscape and outcomes of the 2020 election.,false,false,false,3,10,2
72.8.9.4,2016-05-12 9:15:40,Any exclusive deals today?,Share and discuss the best online deals available right now.,false,false,false,4,11,3
54.2.7.5,2018-10-31 23:59:59,Top 10 Horror Movies of All Time,What are your favorite horror movies that still give you chills?,false,false,false,5,12,3
91.3.2.2,2020-07-15 14:20:10,My Mini Bonsai Collection,Showcasing my beautiful mini bonsai trees. What do you think?,true,false,false,2,13,3
124.5.6.3,2021-01-05 8:12:30,The Evolution of Fork Design,We should discuss the different designs and innovations in fork design over the years.,false,false,false,3,14,4
192.168.1.1,2023-12-06 15:45:30,Check Out These New Products,We have the hottest new products. Discover Now!,true,false,false,6,,4
203.0.113.1,2023-12-06 16:30:45,Don't Miss These Deals,Hurry while supplies last! Best deals found here.,true,false,false,7,,4
172.16.254.1,2023-12-06 17:15:20,Top Items on Clearance,Take advantage of these sales. Great clearances on top products.,true,false,false,8,,5
10.0.0.1,2023-12-06 18:00:10,High-End Fashion Found Here,Buy luxury items. Luxury fashion for fair prices.,true,false,false,22,,5
192.168.0.1,2023-12-06 18:45:55,Vote Smith,Cast your vote for Smith. Political campaign.,true,false,false,23,,5
128.3.4.1,2023-12-01 15:20:12,Best Basketball Plays of 2023,Share and discuss the most jaw-dropping basketball plays from the year.,false,false,false,21,,5
76.1.2.3,2023-12-05 18:40:30,Delicious Chocolate Truffles Recipe,Step-by-step guide to making the most decadent chocolate truffles. Enjoy baking!,true,false,false,2,,5
42.7.8.9,2023-12-10 10:15:28,Policy Poll: Your Opinion Matters!,Share your thoughts on recent political policy changes with our community poll.,false,false,false,3,13,6
55.2.6.1,2023-12-12 14:30:45,Tech Gadgets Wishlist Poll,What tech gadgets are you most excited about? Vote in our community poll!,false,false,false,24,13,6
18.6.7.4,2022-03-20 20:05:45,Debating Policy Changes,Share your thoughts on recent policy changes and their impact on the political landscape.,false,false,false,3,13,6
99.4.1.2,2022-09-10 15:30:22,Huge Discounts on Tech Gear!,Discover and discuss the latest online deals on electronic gadgets and tech gear.,false,false,false,4,13,6
31.7.8.5,2023-02-14 12:45:00,Creepiest Horror Movie Scenes,Share your favorite horror movie scenes that gave you the creeps.,false,true,false,25,13,6
65.2.3.1,2023-06-05 11:10:18,Advanced Bonsai Techniques,Exploring advanced techniques in mini bonsai tree cultivation. Join the discussion!,true,false,false,26,,6
124.5.6.3,2023-10-18 9:30:55,The Art of Fork Collecting,Show off your unique fork collections and discuss the art of fork collecting.,false,false,false,27,,7
13.5.5.3,2023-12-09 19:06:04,Happy Tree,Look at this happy tree!,true,false,false,3,16,6
198.2.7.4,2023-12-09 19:07:20,Tree Meme,What can I say about it?,false,true,false,3,15,6