subscriptionID,purchase_date,expr_date,holder_userID
1,2023-01-01,2024-01-01,6
2,2023-02-12,2024-02-12,7
3,2023-03-01,2024-03-01,8
4,2023-04-01,2024-04-01,9
5,2023-05-01,2024-05-01,10
6,2022-11-15,2023-11-15,6
7,2022-10-02,2023-10-02,7
8,2022-09-10,2023-09-10,8
9,2022-08-18,2023-08-18,9
10,2022-07-25,2023-07-25,10
11,2022-06-03,2023-06-03,6
12,2022-05-12,2023-05-12,7
13,2022-04-20,2023-04-20,8
14,2022-03-28,2023-03-28,9
15,2022-02-05,2023-02-05,10
16,2022-01-15,2023-01-15,6
17,2021-12-22,2022-12-22,7